LidarMCplusplus.cpp input file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0425791
b(m^-1),0.104066
c(m^-1),0.146645
Dmin,0.1
Dmax,100
k,1e+21
Junge,4
bulk ref index,(1.05,0.005)
#photons,1000000
distance,signal,co,cross
0.653922,0.00341407,-0.000644061,0.00334418,5.05404e-05
0.657382,0.00335778,-0.000641419,0.00328736,4.96987e-05
0.660842,0.0033027,-0.000639,0.00323167,4.78894e-05
0.664302,0.00325536,-0.000637572,0.00318374,4.531e-05
0.667761,0.00321504,-0.000636835,0.00314296,4.38253e-05
0.671221,0.0031737,-0.000635673,0.00310118,4.36246e-05
0.674681,0.00313038,-0.000633939,0.00305745,4.39921e-05
0.678141,0.00308281,-0.000631285,0.0030095,4.54114e-05
0.681601,0.00302856,-0.000627546,0.00295479,4.63658e-05
0.685061,0.00297455,-0.000623711,0.0029003,4.6371e-05
0.688521,0.00291962,-0.000619652,0.00284488,4.64306e-05
0.691981,0.00286475,-0.000615715,0.00278941,4.5016e-05
0.695441,0.00281709,-0.000612874,0.00274116,4.26319e-05
0.698901,0.00277727,-0.000611048,0.00270084,4.04114e-05
0.70236,0.00273822,-0.000609129,0.00266133,3.97837e-05
0.70582,0.00269586,-0.000606686,0.00261842,3.92185e-05
0.70928,0.00265408,-0.000604402,0.00257599,3.78569e-05
0.71274,0.00261719,-0.000602891,0.00253848,3.57183e-05
0.7162,0.00258664,-0.000602196,0.00250739,3.40614e-05
0.71966,0.00255675,-0.000601382,0.00247701,3.35885e-05
0.72312,0.00252518,-0.000600071,0.00244497,3.3724e-05
0.72658,0.00249242,-0.00059827,0.00241181,3.44866e-05
0.73004,0.00245438,-0.000595411,0.00237333,3.57659e-05
0.7335,0.00241348,-0.000591974,0.00233195,3.62971e-05
0.73696,0.00237353,-0.000588546,0.00229153,3.63872e-05
0.740419,0.00233166,-0.000584777,0.00224915,3.64296e-05
0.743879,0.00229105,-0.000581343,0.00220791,3.51062e-05
0.747339,0.00225605,-0.000578894,0.0021723,3.31056e-05
0.750799,0.00222649,-0.000577251,0.00214222,3.13066e-05
