LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.247962
b(m^-1),0.508313
c(m^-1),0.756275
Junge,4
bulk ref index,(1.05,0.006)
#photons,10000000
distance,signal,co,cross,nScat,angleDet
2.88792,0.137169,0.129294,0.00787513,10,0.13812
1.53979,0.204082,0.126371,0.0777117,8,0.0460207
0.17463,0.672127,0.671313,0.000814413,2,0.0828958
1.02771,0.303637,0.00251897,0.301118,6,0.0336194
0.699075,0.204082,0.00167284,0.20241,8,0.0508287
0.8506,0.451755,0.0994643,0.35229,4,0.0743462
0.625937,0.672127,0.671884,0.000243094,2,0.138994
0.810452,0.451755,0.394858,0.0568964,4,0.130894
2.18078,0.451755,0.323422,0.128333,4,0.0248753
0.190477,0.672127,0.671502,0.000625426,2,0.167597
0.0601143,0.672127,0.67199,0.000137128,2,0.073492
1.41443,0.451755,0.28404,0.167715,4,0.166786
0.854022,0.451755,0.45122,0.000535084,4,0.00970338
0.43444,0.672127,0.67158,0.000547404,2,0.0601125
0.938655,0.204082,0.195438,0.00864448,8,0.0398153
0.215453,0.672127,0.671525,0.000602338,2,0.170907
2.6989,0.0619669,0.0616882,0.000278667,14,0.091449
1.59309,0.672127,0.671471,0.000656181,2,0.0893446
3.42106,0.0279938,0.0268725,0.00112134,18,0.0476847
2.41747,0.137169,0.0998114,0.0373579,10,0.0148319
0.527716,0.303637,0.207588,0.0960486,6,0.16431
1.91843,0.204082,0.0191264,0.184956,8,0.0380216
0.00452207,0.672127,0.671085,0.0010423,2,0.162646
3.63855,0.0619669,0.0603908,0.00157611,14,0.0817183
4.03641,0.204082,0.0984498,0.105633,8,0.0310462
0.472691,0.672127,0.67098,0.00114709,2,0.146399
0.428825,0.303637,0.000545474,0.303091,6,0.0242083
3.06376,0.303637,0.253644,0.0499929,6,0.124944
1.09342,0.672127,0.671652,0.000474745,2,0.134771
0.952444,0.303637,0.00507174,0.298565,6,0.0996044
0.194662,0.451755,0.236662,0.215093,4,0.15284
0.0436236,0.672127,0.671748,0.000379127,2,0.10352
0.232456,0.672127,0.671609,0.000518041,2,0.141982
0.363333,0.672127,0.671963,0.000164147,2,0.121839
0.355308,0.451755,0.429094,0.0226607,4,0.16277
1.13095,0.303637,0.111709,0.191928,6,0.163014
0.341906,0.672127,0.671506,0.000621539,2,0.106078
0.708946,0.137169,0.0758897,0.0612797,10,0.00532765
0.268409,0.672127,0.671653,0.000474516,2,0.134773
0.136278,0.672127,0.672017,0.000109766,2,0.10007
1.81118,0.0619669,0.0380683,0.0238986,14,0.114404
0.225902,0.451755,0.0196658,0.432089,4,0.164138
3.42551,0.0619669,0.00141652,0.0605504,14,0.0061934
1.23704,0.303637,0.303278,0.000358686,6,0.01525
0.610361,0.672127,0.670859,0.00126785,2,0.0494364
0.635378,0.672127,0.671262,0.000865533,2,0.165742
0.74882,0.451755,0.168192,0.283562,4,0.168303
1.0033,0.204082,0.198473,0.0056099,8,0.0834605
0.405852,0.672127,0.671964,0.000163392,2,0.121819
1.05348,0.672127,0.671488,0.000638981,2,0.0592852
0.309616,0.451755,0.437593,0.0141615,4,0.0978981
5.61183,0.0279938,0.000148021,0.0278458,18,0.0172084
0.311627,0.672127,0.671573,0.000554488,2,0.170428
0.159863,0.672127,0.671607,0.000519927,2,0.169128
6.0897,0.0126464,0.00854013,0.00410622,22,0.135121
0.384791,0.672127,0.671794,0.000332889,2,0.0627335
0.435498,0.451755,0.0886024,0.363152,4,0.0406037
1.85936,0.137169,0.00016195,0.137007,10,0.0107592
0.545786,0.451755,0.442341,0.00941384,4,0.0510574
0.209546,0.672127,0.671553,0.000574124,2,0.168135
0.477634,0.204082,0.199325,0.00475756,8,0.107009
1.44805,0.0619669,0.0463625,0.0156044,14,0.143205
0.720163,0.672127,0.67172,0.000406757,2,0.155083
0.697386,0.451755,0.347498,0.104257,4,0.0388634
1.02701,0.451755,0.0145936,0.437161,4,0.0566775
0.654492,0.303637,0.265252,0.0383843,6,0.0103861
5.84286,0.0416496,0.0355381,0.00611149,16,0.136871
2.52176,0.303637,0.290818,0.0128182,6,0.046427
1.42011,0.0921952,0.0770026,0.0151926,12,0.0261792
2.2057,0.137169,0.112019,0.0251502,10,0.164061
2.4664,0.204082,0.00132047,0.202762,8,0.00739892
0.302814,0.672127,0.67161,0.000517137,2,0.169298
1.28139,0.451755,0.248069,0.203686,4,0.0490846
0.20593,0.672127,0.67137,0.000756742,2,0.0578237
1.20451,0.303637,0.0434322,0.260204,6,0.084552
2.59516,0.0619669,0.022861,0.0391059,14,0.151321
1.33939,0.303637,0.226017,0.07762,6,0.0156431
0.816043,0.672127,0.671368,0.000758979,2,0.159893
0.827063,0.303637,0.178979,0.124658,6,0.02576
0.0882303,0.451755,0.0204055,0.431349,4,0.142949
2.83428,0.672127,0.670862,0.00126552,2,0.0484405
0.323101,0.672127,0.67171,0.000417514,2,0.0268128
0.410959,0.672127,0.671659,0.000468325,2,0.0777532
