LidarMCplusplus.cpp input file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.00425791
b(m^-1),0.0104066
c(m^-1),0.0146645
Dmin,0.1
Dmax,100
k,1e+20
Junge,4
bulk ref index,(1.05,0.005)
#photons,100000
distance,signal,co,cross
0.674681,0.00048105,-0.000104116,0.000468744,4.39921e-06
0.678141,0.00047596,-0.000104207,0.000463517,4.54114e-06
0.681601,0.000470193,-0.000104191,0.000457605,4.63658e-06
0.685061,0.000464459,-0.000104165,0.000451715,4.6371e-06
0.688521,0.000458624,-0.000104118,0.000445732,4.64306e-06
0.691981,0.000452804,-0.000104083,0.000439744,4.5016e-06
0.695441,0.000447696,-0.000104159,0.000434469,4.26319e-06
0.698901,0.000443381,-0.000104336,0.000429996,4.04114e-06
0.70236,0.000439134,-0.000104505,0.000425595,3.97837e-06
0.70582,0.000434556,-0.000104622,0.000420854,3.92185e-06
0.70928,0.000430045,-0.000104755,0.000416152,3.78569e-06
0.71274,0.000426014,-0.000104967,0.000411951,3.57183e-06
0.7162,0.000422617,-0.00010526,0.000408383,3.40614e-06
0.71966,0.000419286,-0.000105541,0.000404886,3.35885e-06
0.72312,0.000415787,-0.000105774,0.000401223,3.3724e-06
0.72658,0.000412169,-0.000105958,0.000397448,3.44866e-06
0.73004,0.000408023,-0.000106037,0.000393132,3.57659e-06
0.7335,0.000403591,-0.000106058,0.000388526,3.62971e-06
0.73696,0.000399254,-0.00010608,0.000384016,3.63872e-06
0.740419,0.000394725,-0.000106069,0.00037931,3.64296e-06
0.743879,0.000390322,-0.000106091,0.000374709,3.51062e-06
0.747339,0.00038648,-0.000106212,0.00037068,3.31056e-06
0.750799,0.000383182,-0.000106414,0.000367195,3.13066e-06
0.754259,0.000379949,-0.000106609,0.000363778,3.08421e-06
0.757719,0.000376433,-0.000106752,0.000360072,3.05227e-06
0.761179,0.000372906,-0.000106901,0.000356336,2.9567e-06
0.764639,0.000369675,-0.000107107,0.000352902,2.78909e-06
0.768099,0.000366929,-0.000107396,0.000349959,2.61781e-06
0.771559,0.000364412,-0.000107708,0.000347242,2.53975e-06
0.775018,0.000361821,-0.00010799,0.000344444,2.52783e-06
0.778478,0.000359134,-0.000108232,0.000341564,2.5533e-06
0.781938,0.000356266,-0.000108415,0.0003385,2.6512e-06
0.785398,0.000353007,-0.000108511,0.000335038,2.74913e-06
0.788858,0.00034963,-0.000108577,0.000331469,2.78595e-06
0.792318,0.00034631,-0.000108635,0.000327951,2.80856e-06
0.795778,0.000342807,-0.000108658,0.000324232,2.81935e-06
0.799238,0.00033941,-0.000108716,0.00032062,2.71315e-06
0.802698,0.000336443,-0.000108863,0.000317427,2.54677e-06
0.806158,0.000333856,-0.000109079,0.00031463,2.39142e-06
0.809617,0.000331414,-0.000109304,0.000311965,2.34084e-06
0.813077,0.000328729,-0.000109473,0.000309063,2.33112e-06
0.816537,0.000325954,-0.000109628,0.000306053,2.28081e-06
0.819997,0.000323325,-0.000109821,0.000303182,2.16474e-06
0.823457,0.000321024,-0.000110086,0.000300639,2.00668e-06
0.826917,0.000319029,-0.000110405,0.000298408,1.89018e-06
0.830377,0.000317075,-0.000110721,0.000296212,1.8455e-06
0.833837,0.000315082,-0.000111015,0.00029399,1.83999e-06
0.837297,0.000313031,-0.000111276,0.000291706,1.87098e-06
0.840757,0.000310791,-0.000111472,0.000289239,1.96449e-06
0.844217,0.000308288,-0.000111602,0.000286505,2.04452e-06
0.847676,0.000305734,-0.00011171,0.000283711,2.08084e-06
0.851136,0.000303184,-0.000111801,0.000280935,2.11186e-06
0.854596,0.000300491,-0.000111858,0.000278002,2.14461e-06
0.858056,0.000297786,-0.000111921,0.000275046,2.08684e-06
0.861516,0.000295383,-0.000112065,0.000272387,1.95305e-06
0.864976,0.000293309,-0.00011228,0.000270039,1.81246e-06
0.868436,0.000291433,-0.00011253,0.00026792,1.7296e-06
0.871896,0.000289444,-0.00011274,0.000265679,1.72778e-06
