LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0550804
b(m^-1),0.599519
c(m^-1),0.6546
Junge,4
bulk ref index,(1.05,0.001)
#photons,10000000
distance,signal,co,cross,nScat,angleDet
0.398346,0.838793,0.418955,0.419838,2,0.160575
0.238754,0.838793,0.0282831,0.81051,2,0.155664
0.376388,0.915856,0.714619,0.201238,1,0.106931
0.530962,0.915856,0.555654,0.360202,1,0.10977
0.302532,0.838793,0.731541,0.107252,2,0.160496
3.31537,0.540495,0.265334,0.275161,7,0.0530717
0.162807,0.915856,0.64965,0.266206,1,0.157586
0.190082,0.915856,0.466933,0.448924,1,0.0855624
0.405163,0.838793,0.189903,0.648889,2,0.136247
0.969384,0.768214,0.36494,0.403273,3,0.0974683
0.427844,0.915856,0.870511,0.0453459,1,0.122537
0.226693,0.915856,0.461123,0.454733,1,0.171087
1.00159,0.703573,0.546953,0.156621,4,0.112999
0.0550877,0.915856,0.674277,0.241579,1,0.149322
5.16696,0.703573,0.256633,0.446941,4,0.170067
0.000636709,0.915856,0.475834,0.440022,1,0.0448008
0.913882,0.838793,0.44803,0.390763,2,0.110275
0.681052,0.703573,0.336195,0.367379,4,0.0171922
0.528813,0.838793,0.455385,0.383408,2,0.116063
0.107998,0.915856,0.825049,0.0908076,1,0.0645996
1.05733,0.838793,0.432206,0.406587,2,0.151495
1.13369,0.915856,0.602412,0.313444,1,0.03752
1.03044,0.703573,0.325891,0.377682,4,0.0993968
0.271158,0.915856,0.451544,0.464312,1,0.135311
1.65037,0.768214,0.581263,0.186951,3,0.157258
0.625554,0.915856,0.895192,0.0206645,1,0.0164799
0.410452,0.915856,0.579128,0.336728,1,0.131433
0.789241,0.838793,0.430939,0.407854,2,0.0908432
0.3559,0.915856,0.516566,0.399291,1,0.155768
0.451212,0.915856,0.537269,0.378587,1,0.151163
0.520467,0.838793,0.433485,0.405308,2,0.0559688
1.006,0.915856,0.914406,0.00145004,1,0.125087
1.53062,0.703573,0.349994,0.353579,4,0.157215
2.26593,0.590152,0.295624,0.294528,6,0.139187
